Student_Query,Target_Intent
What is the course syllabus structure details?,course_syllabus
tell me the syllabus,course_syllabus
സിലബസിന്റെ ഘടന എന്താണ്?,course_syllabus
How many subjects are included course semester?,course_subjects
subjects per sem,course_subjects
ഒരു സെമസ്റ്ററിൽ എത്ര വിഷയങ്ങൾ ഉണ്ട്?,course_subjects
What is course duration total years?,course_duration
how long is the course,course_duration
കോഴ്സിന്റെ കാലാവധി എത്രയാണ്?,course_duration
Is this course approved university recognition?,course_recognition
is it university approved,course_recognition
ഇതിന് യൂണിവേഴ്സിറ്റി അംഗീകാരം ഉണ്ടോ?,course_recognition
What are course eligibility criteria requirements?,course_eligibility
eligibility for admission,course_eligibility
യോഗ്യതാ മാനദണ്ഡങ്ങൾ എന്തൊക്കെയാണ്?,course_eligibility
Does course include internship training program?,course_internship
any internships provided,course_internship
ഇന്റേൺഷിപ്പ് ഉണ്ടോ?,course_internship
What are course learning outcomes expected?,course_learning_outcomes
what will i learn,course_learning_outcomes
എന്തൊക്കെയാണ് പഠിക്കാൻ കഴിയുക?,course_learning_outcomes
How to download course curriculum PDF?,download_curriculum
download syllabus pdf,download_curriculum
സിലബസ് PDF എങ്ങനെ ഡൗൺലോഡ് ചെയ്യാം?,download_curriculum
Is course available online offline mode?,course_delivery_mode
is there online classes,course_delivery_mode
ഓൺലൈൻ ക്ലാസുകൾ ലഭ്യമാണോ?,course_delivery_mode
What is course specialization options available?,course_specializations
what specializations do u offer,course_specializations
ഏതൊക്കെ സ്പെഷ്യലൈസേഷൻ ലഭ്യമാണ്?,course_specializations
How many credits required course completion?,course_credits
total credits to pass,course_credits
എത്ര ക്രെഡിറ്റുകൾ വേണം?,course_credits
What is course admission process steps?,course_admission_process
how to apply,course_admission_process
അഡ്മിഷൻ നടപടികൾ എന്തൊക്കെയാണ്?,course_admission_process
Are there elective subjects course structure?,course_electives
do we have electives,course_electives
ഇലക്ടീവ് വിഷയങ്ങൾ ഉണ്ടോ?,course_electives
What is course fee structure details?,course_fee_structure
how much is the fees,course_fee_structure
ഫീസ് എത്രയാണ്?,course_fee_structure
Is course suitable beginners background students?,course_beginner_friendly
im a beginner can i join,course_beginner_friendly
